0.998182	0.000574	1
0.998208	0.000830	1
0.998215	0.000129	0
0.998264	0.001076	0
0.998276	0.000226	0
0.998341	0.000672	1
0.998429	0.000175	0
0.998536	0.000375	1
0.998681	0.000095	0
0.998861	0.000438	1
0.998894	0.000365	0
0.998967	0.000622	0
0.999014	0.000499	1
0.999136	0.000224	1
0.999191	0.000660	1
0.999202	0.000328	1
0.999225	0.000237	1
0.999311	0.000317	1
0.999328	0.000286	1
0.999451	0.000117	1
0.999476	0.000138	1
0.999505	0.000234	1
0.999557	0.000173	1
0.999565	0.000176	1
0.999906	0.000089	1
0.003560	0.975597	0
0.001967	0.976832	0
0.002828	0.977941	1
0.000403	0.978177	0
0.000122	0.978323	0
0.003035	0.978531	0
0.000741	0.979147	0
0.003236	0.981124	1
0.004120	0.981555	0
0.007527	0.982129	1
0.003811	0.982773	1
0.003340	0.982947	0
0.002831	0.983816	1
0.002491	0.985365	0
0.004012	0.986312	1
0.005358	0.986783	1
0.007626	0.986989	1
0.004310	0.988705	1
0.002150	0.988937	0
0.001189	0.989532	0
0.001667	0.990585	1
0.002470	0.991173	1
0.003018	0.992221	1
0.001060	0.993932	1
0.000213	0.994321	1
0.000001	0.000039	0
0.000185	0.000029	0
0.000023	0.000061	0
0.001279	0.000053	0
0.000121	0.000155	0
0.000256	0.000020	0
0.002166	0.000361	0
0.003599	0.000561	0
0.000130	0.000214	0
0.000063	0.000008	0
0.000000	0.000006	0
0.000252	0.000002	0
0.000141	0.000058	0
0.002313	0.001818	0
0.000127	0.000007	0
0.000407	0.000031	0
0.010224	0.001558	0
0.000034	0.000110	0
0.000045	0.000003	0
0.034896	0.000679	0
0.000041	0.000347	0
0.000001	0.000049	0
0.000014	0.000111	0
0.000598	0.000014	0
0.000100	0.000032	0
0.001673	0.000138	0
0.041005	0.001349	0
0.002777	0.000041	0
0.297132	0.000335	0
0.000002	0.000044	0
0.000815	0.000009	0
0.000652	0.000208	0
0.000245	0.000055	0
0.005860	0.000261	0
0.000150	0.000130	0
0.000579	0.000122	0
0.000038	0.000023	0
0.000711	0.000640	0
0.035649	0.000363	0
0.000938	0.001078	0
0.007079	0.000887	0
0.000412	0.000498	0
0.001152	0.000323	0
0.000018	0.000075	0
0.000008	0.005738	0
0.000465	0.000116	0
0.000074	0.000010	0
0.000416	0.008494	0
0.002587	0.000900	0
0.000108	0.000090	0
